window_id,purpose,start_date,end_date,strategy_name,friction_bps,starting_capital,ending_capital,total_return,total_pnl,total_trades,winning_trades,losing_trades,win_rate,average_winner,average_loser,profit_factor,maximum_drawdown,average_trade_return,largest_winning_trade,largest_losing_trade,sharpe,sortino,return_over_max_drawdown,long_trades,short_trades,long_pnl,short_pnl,stop_exits,target_exits,eod_exits,average_holding_minutes,market_exposure,total_fees,modeled_slippage_cost,quality_clean,expected_sessions,represented_sessions,missing_sessions,truncated_sessions,missing_regular_session_bars,malformed_bars,duplicate_timestamps
3,out_of_sample,2024-01-01,2024-12-31,orb-v1,2.0,10000.0,10116.014486989756,0.011601448698975583,116.01448698975582,252,111,141,0.44047619047619047,27.66353700856478,-20.954880290503056,1.0392652102356374,0.031903780346260124,7.612683526196533e-05,49.15503862568016,-27.859213228499584,0.2913963476783796,1.1535107700545932,0.36363868397606824,119,133,236.75459579175595,-120.7401088019958,113,41,98,214.265873015873,0.5524350317167996,0.0,468.565394056274,True,252,252,,,0,0,0
4,research,2021-01-01,2023-12-31,orb-v1,2.0,10000.0,9907.923763330115,-0.009207623666988548,-92.07623666988547,752,300,452,0.39893617021276595,23.712939559286756,-15.94238518684934,0.9872222076044351,0.05588735683684122,-4.740779113583639e-06,39.2922787722398,-21.40284381282015,-0.07785133154786605,-0.39243960959625224,-0.1647532498963851,404,348,-295.2835624754789,203.20732580560275,391,173,188,167.08909574468086,0.42891619730329406,0.0,1012.3177617939248,True,753,753,,,0,0,0
4,validation,2024-01-01,2024-12-31,orb-v1,2.0,10000.0,10116.014486989756,0.011601448698975583,116.01448698975582,252,111,141,0.44047619047619047,27.66353700856478,-20.954880290503056,1.0392652102356374,0.031903780346260124,7.612683526196533e-05,49.15503862568016,-27.859213228499584,0.2913963476783796,1.1535107700545932,0.36363868397606824,119,133,236.75459579175595,-120.7401088019958,113,41,98,214.265873015873,0.5524350317167996,0.0,468.565394056274,True,252,252,,,0,0,0
4,out_of_sample,2025-01-01,2025-12-31,orb-v1,2.0,10000.0,9808.899486548691,-0.01911005134513089,-191.10051345130887,250,106,144,0.424,30.463975799329486,-23.751957973473807,0.944127263089238,0.06787739381038366,-0.00011016610370473644,60.8708585669649,-33.08785324740029,-0.38494772953410067,-1.3049906589758984,-0.28153778853847944,126,124,-226.0883790542971,34.9878656029955,110,36,104,209.816,0.5409859735973598,0.0,548.7839647703266,True,250,250,,,0,0,0
1,research,2018-01-01,2020-12-31,orb-v1,5.0,10000.0,8811.94600639016,-0.11880539936098394,-1188.0539936098394,753,276,477,0.3665338645418327,12.258225570225646,-9.583488995790571,0.7401072581206674,0.12124900759593911,-0.0007749905220282347,28.599545074000048,-17.18066512012456,-2.068632810902638,-6.101882186546388,-0.9798463650680056,390,363,-393.45341971226503,-794.6005738975595,364,120,269,191.71314741035857,0.49342712413609235,0.0,1524.9731079373712,False,756,756,,2018-05-02;2018-05-03;2020-03-09;2020-03-12;2020-03-16;2020-03-18,834,0,0
1,validation,2021-01-01,2021-12-31,orb-v1,5.0,10000.0,9749.455141647624,-0.025054485835237575,-250.54485835237574,252,113,139,0.44841269841269843,18.62005804429919,-16.93965048459113,0.893593967775173,0.04441347563884569,-0.00028612922773522584,37.86323641125023,-22.405263283125123,-0.7786269832548746,-2.917669647522174,-0.5641190083606963,142,110,-176.8304404315694,-73.71441792078997,111,37,104,219.93253968253967,0.5649643221202855,0.0,889.5214048748812,True,252,252,,,0,0,0
1,out_of_sample,2022-01-01,2022-12-31,orb-v1,5.0,10000.0,9082.452449776923,-0.09175475502230765,-917.5475502230765,250,74,176,0.296,27.911198412190146,-16.948728595029298,0.692405343308806,0.09953842642073676,-0.0011101409622556293,38.09029232650005,-21.943447537624365,-2.737375340665586,-24.3844905433947,-0.9218023463066566,121,129,-679.9545185911387,-237.5930316319466,171,68,11,87.708,0.22440896530549587,0.0,777.4779185431125,True,251,251,,,0,0,0
2,research,2019-01-01,2021-12-31,orb-v1,5.0,10000.0,9005.150301260019,-0.09948496987399813,-994.8496987399812,756,304,452,0.4021164021164021,15.039537320191485,-12.316081955925137,0.8212909822625994,0.11142667773557123,-0.0005178445178443381,37.86323641125023,-22.405263283125123,-1.3099591514052904,-3.5191238784749594,-0.8928290055464797,408,348,-404.9238993335672,-589.9257994063822,342,120,294,201.67195767195767,0.5184192809101852,0.0,1990.0235780175062,False,757,757,,2020-03-09;2020-03-12;2020-03-16;2020-03-18,56,0,0
2,validation,2022-01-01,2022-12-31,orb-v1,5.0,10000.0,9082.452449776923,-0.09175475502230765,-917.5475502230765,250,74,176,0.296,27.911198412190146,-16.948728595029298,0.692405343308806,0.09953842642073676,-0.0011101409622556293,38.09029232650005,-21.943447537624365,-2.737375340665586,-24.3844905433947,-0.9218023463066566,121,129,-679.9545185911387,-237.5930316319466,171,68,11,87.708,0.22440896530549587,0.0,777.4779185431125,True,251,251,,,0,0,0
2,out_of_sample,2023-01-01,2023-12-31,orb-v1,5.0,10000.0,9342.12980570452,-0.06578701942954794,-657.8701942954795,250,93,157,0.372,21.983849942251556,-17.212536553661597,0.7565579017620456,0.075756769462432,-0.0007056241952443853,36.33037147712514,-22.638473830124894,-2.0426791450360566,-9.268566446718049,-0.8683978989121482,141,109,-276.95822618834484,-380.91196810713086,131,50,69,180.2,0.46376364010706195,0.0,863.8843566905,True,250,250,,,0,0,0
3,research,2020-01-01,2022-12-31,orb-v1,5.0,10000.0,8412.818335234606,-0.1587181664765394,-1587.181664765394,755,281,474,0.37218543046357616,20.612627783539683,-15.568206902827052,0.7849152092002706,0.16804105836048347,-0.0006655664762896991,38.09029232650005,-22.405263283125123,-1.7541959332322166,-7.414842216315625,-0.944520154925801,400,355,-962.4471584653768,-624.7345062999957,423,160,172,153.37880794701988,0.39379522824963276,0.0,2300.6857853954475,False,756,756,,2020-03-09;2020-03-12;2020-03-16;2020-03-18,56,0,0
3,validation,2023-01-01,2023-12-31,orb-v1,5.0,10000.0,9342.12980570452,-0.06578701942954794,-657.8701942954795,250,93,157,0.372,21.983849942251556,-17.212536553661597,0.7565579017620456,0.075756769462432,-0.0007056241952443853,36.33037147712514,-22.638473830124894,-2.0426791450360566,-9.268566446718049,-0.8683978989121482,141,109,-276.95822618834484,-380.91196810713086,131,50,69,180.2,0.46376364010706195,0.0,863.8843566905,True,250,250,,,0,0,0
3,out_of_sample,2024-01-01,2024-12-31,orb-v1,5.0,10000.0,9472.760740997717,-0.05272392590022828,-527.2392590022828,252,104,148,0.4126984126984127,26.472922632922124,-22.165021708285146,0.83927706128257,0.055668678963274355,-0.00047167970757816795,47.65134141049998,-29.4675826781247,-1.221341663992006,-4.561855841796674,-0.9471021565827207,119,133,-136.8981140471334,-390.3411449551669,118,38,96,206.73809523809524,0.5330263965623082,0.0,1171.3427928673375,True,252,252,,,0,0,0
4,research,2021-01-01,2023-12-31,orb-v1,5.0,10000.0,8174.037397129069,-0.18259626028709308,-1825.9626028709308,752,280,472,0.3723404255319149,22.19283316477598,-17.033804849593633,0.7728889774921178,0.19262551642933062,-0.0006995290621865433,38.09029232650005,-22.638473830124894,-1.8908650886301215,-9.110339705716887,-0.9479339169174037,404,348,-1133.743185211053,-692.2194176598674,413,155,184,162.7659574468085,0.41781874039938555,0.0,2530.8836801084935,True,753,753,,,0,0,0
4,validation,2024-01-01,2024-12-31,orb-v1,5.0,10000.0,9472.760740997717,-0.05272392590022828,-527.2392590022828,252,104,148,0.4126984126984127,26.472922632922124,-22.165021708285146,0.83927706128257,0.055668678963274355,-0.00047167970757816795,47.65134141049998,-29.4675826781247,-1.221341663992006,-4.561855841796674,-0.9471021565827207,119,133,-136.8981140471334,-390.3411449551669,118,38,96,206.73809523809524,0.5330263965623082,0.0,1171.3427928673375,True,252,252,,,0,0,0
4,out_of_sample,2025-01-01,2025-12-31,orb-v1,5.0,10000.0,9030.812259486484,-0.09691877405135164,-969.1877405135165,250,98,152,0.392,29.172901079292757,-25.185079251869777,0.7468248929776959,0.11469803392515658,-0.0006901916150023145,59.00876379353235,-34.99808279624972,-2.064896773796207,-6.532258277338609,-0.8449907181024013,126,124,-529.4830015893382,-439.70473892417715,116,34,100,205.96,0.5310437293729373,0.0,1372.049290783555,True,250,250,,,0,0,0
