symbol,direction,entry_timestamp,entry_price,exit_timestamp,exit_price,quantity,stop_price,take_profit_price,fees,slippage,realized_pnl,exit_reason
QQQ,long,2025-03-25T09:35:00-04:00,491.35,2025-03-25T09:36:00-04:00,491.02,51,491.02,494.65000000000043,0.051000000000000004,0.0,-16.881000000002086,STOP_LOSS
QQQ,short,2025-03-26T09:35:00-04:00,492.05,2025-03-26T09:36:00-04:00,492.81,51,492.81,484.4500000000001,0.051000000000000004,0.0,-38.81099999999954,STOP_LOSS
QQQ,short,2025-03-27T09:35:00-04:00,481.68,2025-03-27T09:54:00-04:00,483.4,52,483.4,464.4800000000003,0.052000000000000005,0.0,-89.49199999999847,STOP_LOSS
QQQ,short,2025-03-28T09:35:00-04:00,478.7,2025-03-28T09:37:00-04:00,479.9,52,479.9,466.7000000000001,0.052000000000000005,0.0,-62.45199999999941,STOP_LOSS
QQQ,short,2025-03-31T09:35:00-04:00,458.7,2025-03-31T11:22:00-04:00,462.52,54,462.52,420.50000000000006,0.054,0.0,-206.33399999999963,STOP_LOSS
QQQ,short,2025-04-01T09:35:00-04:00,467.0,2025-04-01T09:47:00-04:00,468.5392,53,468.5392,451.60800000000006,0.053,0.0,-81.63059999999967,STOP_LOSS
QQQ,long,2025-04-02T09:35:00-04:00,468.27,2025-04-02T15:59:00-04:00,476.15,52,465.86,492.36999999999966,0.052000000000000005,0.0,409.70799999999974,END_OF_DAY
QQQ,long,2025-04-03T09:35:00-04:00,459.52,2025-04-03T10:04:00-04:00,456.11,54,456.11,493.61999999999966,0.054,0.0,-184.19399999999828,STOP_LOSS
QQQ,long,2025-04-04T09:35:00-04:00,438.31,2025-04-04T09:36:00-04:00,436.71,57,436.71,454.31000000000023,0.057,0.0,-91.2570000000013,STOP_LOSS
QQQ,short,2025-04-07T09:35:00-04:00,408.0,2025-04-07T09:50:00-04:00,410.0,61,410.0,388.0,0.061,0.0,-122.061,STOP_LOSS
QQQ,long,2025-04-08T09:35:00-04:00,438.67,2025-04-08T09:36:00-04:00,437.2248,56,437.2248,453.122,0.056,0.0,-80.98719999999999,STOP_LOSS
QQQ,long,2025-04-09T09:35:00-04:00,417.09,2025-04-09T13:19:00-04:00,433.68999999999966,59,415.43,433.68999999999966,0.059000000000000004,0.0,979.3409999999812,TAKE_PROFIT
QQQ,long,2025-04-10T09:35:00-04:00,454.38,2025-04-10T09:37:00-04:00,452.44,56,452.44,473.78,0.056,0.0,-108.69599999999987,STOP_LOSS
QQQ,long,2025-04-11T09:35:00-04:00,444.64,2025-04-11T10:21:00-04:00,443.21,57,443.21,458.94000000000005,0.057,0.0,-81.56700000000039,STOP_LOSS
QQQ,short,2025-04-14T09:35:00-04:00,463.36,2025-04-14T15:59:00-04:00,457.41,55,465.05,446.46000000000004,0.055,0.0,327.19499999999937,END_OF_DAY
QQQ,long,2025-04-15T09:35:00-04:00,459.2759,2025-04-15T10:19:00-04:00,458.14,56,458.14,470.6348999999999,0.056,0.0,-63.66639999999957,STOP_LOSS
QQQ,long,2025-04-16T09:35:00-04:00,449.99,2025-04-16T09:51:00-04:00,448.72,57,448.72,462.6899999999998,0.057,0.0,-72.44699999999897,STOP_LOSS
QQQ,short,2025-04-17T09:35:00-04:00,445.03,2025-04-17T14:11:00-04:00,447.37,57,447.37,421.62999999999965,0.057,0.0,-133.4370000000018,STOP_LOSS
QQQ,long,2025-04-21T09:35:00-04:00,438.76,2025-04-21T09:35:00-04:00,438.08,58,438.08,445.56000000000006,0.058,0.0,-39.498000000000395,STOP_LOSS
QQQ,short,2025-04-22T09:35:00-04:00,437.86,2025-04-22T09:40:00-04:00,439.03,58,439.03,426.1600000000004,0.058,0.0,-67.91799999999763,STOP_LOSS
QQQ,long,2025-04-23T09:35:00-04:00,459.121,2025-04-23T09:36:00-04:00,458.0,55,458.0,470.3309999999998,0.055,0.0,-61.70999999999895,STOP_LOSS
QQQ,long,2025-04-24T09:35:00-04:00,456.75,2025-04-24T09:36:00-04:00,455.8701,55,455.8701,465.5490000000002,0.055,0.0,-48.44950000000113,STOP_LOSS
QQQ,long,2025-04-25T09:35:00-04:00,467.62,2025-04-25T09:51:00-04:00,465.89,54,465.89,484.9200000000002,0.054,0.0,-93.47400000000098,STOP_LOSS
QQQ,short,2025-04-28T09:35:00-04:00,471.83,2025-04-28T09:42:00-04:00,473.62,53,473.62,453.9299999999998,0.053,0.0,-94.92300000000108,STOP_LOSS
QQQ,long,2025-04-29T09:35:00-04:00,470.6412,2025-04-29T09:38:00-04:00,469.75,53,469.75,479.5532000000003,0.053,0.0,-47.286600000001386,STOP_LOSS
QQQ,short,2025-04-30T09:35:00-04:00,467.0,2025-04-30T09:35:00-04:00,467.21,53,467.21,464.9000000000002,0.053,0.0,-11.182999999998916,STOP_LOSS
QQQ,short,2025-05-01T09:35:00-04:00,482.64,2025-05-01T09:51:00-04:00,483.89,52,483.89,470.14,0.052000000000000005,0.0,-65.052,STOP_LOSS
QQQ,short,2025-05-02T09:35:00-04:00,486.45,2025-05-02T10:06:00-04:00,487.64,51,487.64,474.55,0.051000000000000004,0.0,-60.740999999999886,STOP_LOSS
QQQ,long,2025-05-05T09:35:00-04:00,485.19,2025-05-05T09:42:00-04:00,484.24,51,484.24,494.6899999999999,0.051000000000000004,0.0,-48.50099999999942,STOP_LOSS
QQQ,long,2025-05-06T09:35:00-04:00,480.52,2025-05-06T09:51:00-04:00,479.16,51,479.16,494.11999999999955,0.051000000000000004,0.0,-69.4109999999978,STOP_LOSS
QQQ,short,2025-05-07T09:35:00-04:00,482.09,2025-05-07T09:41:00-04:00,482.6188,51,482.6188,476.8019999999995,0.051000000000000004,0.0,-27.019800000002373,STOP_LOSS
QQQ,short,2025-05-08T09:35:00-04:00,487.3,2025-05-08T11:28:00-04:00,488.74,51,488.74,472.90000000000003,0.051000000000000004,0.0,-73.49099999999989,STOP_LOSS
QQQ,long,2025-05-09T09:35:00-04:00,491.07,2025-05-09T09:44:00-04:00,490.2,50,490.2,499.77000000000004,0.05,0.0,-43.550000000000225,STOP_LOSS
QQQ,short,2025-05-12T09:35:00-04:00,504.24,2025-05-12T13:08:00-04:00,507.06,49,507.06,476.0400000000001,0.049,0.0,-138.22899999999967,STOP_LOSS
QQQ,long,2025-05-13T09:35:00-04:00,510.0,2025-05-13T15:59:00-04:00,515.58,48,508.42,525.7999999999998,0.048,0.0,267.79200000000196,END_OF_DAY
QQQ,long,2025-05-14T09:35:00-04:00,518.7,2025-05-14T09:46:00-04:00,516.69,47,516.69,538.8,0.047,0.0,-94.51699999999957,STOP_LOSS
QQQ,long,2025-05-15T09:35:00-04:00,517.22,2025-05-15T09:40:00-04:00,516.01,47,516.01,529.3200000000004,0.047,0.0,-56.91700000000171,STOP_LOSS
QQQ,short,2025-05-16T09:35:00-04:00,519.72,2025-05-16T13:33:00-04:00,520.73,47,520.73,509.6200000000001,0.047,0.0,-47.51699999999957,STOP_LOSS
QQQ,long,2025-05-19T09:35:00-04:00,515.37,2025-05-19T15:59:00-04:00,522.03,47,514.24,526.67,0.047,0.0,312.9729999999985,END_OF_DAY
QQQ,long,2025-05-20T09:35:00-04:00,519.65,2025-05-20T09:35:00-04:00,519.32,48,519.32,522.9499999999992,0.048,0.0,-15.887999999996508,STOP_LOSS
QQQ,long,2025-05-21T09:35:00-04:00,517.24,2025-05-21T13:24:00-04:00,516.21,48,516.21,527.5399999999997,0.048,0.0,-49.48799999999869,STOP_LOSS
